[DEBUG] 2025-03-29 00:16:20,588 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:16:20,591 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:16:20,592 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:16:20,598 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26503
[DEBUG] 2025-03-29 00:17:23,859 [UID:2] views - start Room list_view
[DEBUG] 2025-03-29 00:17:23,863 [UID:2] views - object_list exists
[INFO] 2025-03-29 00:17:23,865 [UID:2] views - return render room/list.html
[INFO] 2025-03-29 00:17:23,877 [UID:2] basehttp - "GET /room/list/ HTTP/1.1" 200 26699
[INFO] 2025-03-29 00:17:23,901 [UID:2] basehttp - "GET /media/room/2_themes_2503282353.webp HTTP/1.1" 304 0
[INFO] 2025-03-29 00:17:30,933 [UID:2] views - start Room detail_view
[DEBUG] 2025-03-29 00:17:30,936 [UID:2] views - get Room object(pk)
[DEBUG] 2025-03-29 00:17:30,938 [UID:2] views - return render room/detail.html
[INFO] 2025-03-29 00:17:30,944 [UID:2] basehttp - "GET /room/detail/8/ HTTP/1.1" 200 22303
[INFO] 2025-03-29 00:17:32,744 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:17:32,745 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:17:32,747 [UID:2] views - GET method
[INFO] 2025-03-29 00:17:32,748 [UID:2] views - return render room/update.html
[INFO] 2025-03-29 00:17:32,763 [UID:2] basehttp - "GET /room/update/8/ HTTP/1.1" 200 16682
[INFO] 2025-03-29 00:17:42,751 [UID:2] views - start Room update_view
[DEBUG] 2025-03-29 00:17:42,752 [UID:2] views - get Room object(pk)
[INFO] 2025-03-29 00:17:42,753 [UID:2] views - POST method
[DEBUG] 2025-03-29 00:17:42,789 [UID:2] views - form.is_valid
[DEBUG] 2025-03-29 00:17:42,789 [UID:2] views - images_data exists
[DEBUG] 2025-03-29 00:17:42,790 [UID:2] views - old images_data exists
[DEBUG] 2025-03-29 00:17:42,790 [UID:2] views - old images_data=C:\Users\sasay\Desktop\Python\AinoteProject\media\room\8_images_2503282347.jpg
[DEBUG] 2025-03-29 00:17:42,790 [UID:2] views - old images_data file exists
